cnn/human_mpra/K562_clean.tsv_4    PearsonRResult(statistic=np.float64(0.7592783602168541), pvalue=np.float64(0.0)) 
cnn/human_mpra/K562_clean.tsv_0    PearsonRResult(statistic=np.float64(0.7575162998626188), pvalue=np.float64(0.0)) 
cnn/human_mpra/WTC11_clean.tsv_0    PearsonRResult(statistic=np.float64(0.635426097220883), pvalue=np.float64(0.0)) 
cnn/human_mpra/WTC11_clean.tsv_9    PearsonRResult(statistic=np.float64(0.655677904340736), pvalue=np.float64(0.0)) 
cnn/human_mpra/WTC11_clean.tsv_8    PearsonRResult(statistic=np.float64(0.6339055585711117), pvalue=np.float64(0.0)) 
cnn/human_mpra/WTC11_clean.tsv_5    PearsonRResult(statistic=np.float64(0.6572833998592817), pvalue=np.float64(0.0)) 
cnn/human_mpra/WTC11_clean.tsv_1    PearsonRResult(statistic=np.float64(0.63286308363566), pvalue=np.float64(0.0)) 
cnn/human_mpra/WTC11_clean.tsv_6    PearsonRResult(statistic=np.float64(0.6367140422150728), pvalue=np.float64(0.0)) 
cnn/human_mpra/WTC11_clean.tsv_7    PearsonRResult(statistic=np.float64(0.6353189009901153), pvalue=np.float64(0.0)) 
cnn/human_mpra/WTC11_clean.tsv_2    PearsonRResult(statistic=np.float64(0.6395361435174887), pvalue=np.float64(0.0)) 
cnn/human_mpra/WTC11_clean.tsv_4    PearsonRResult(statistic=np.float64(0.6431357180078953), pvalue=np.float64(0.0)) 
cnn/human_mpra/WTC11_clean.tsv_3    PearsonRResult(statistic=np.float64(0.6214734694707349), pvalue=np.float64(0.0)) 
attn/human_mpra/HepG2_clean.tsv_1    PearsonRResult(statistic=np.float64(0.7144648655412466), pvalue=np.float64(0.0)) 
attn/human_mpra/HepG2_clean.tsv_2    PearsonRResult(statistic=np.float64(0.7176716516009112), pvalue=np.float64(0.0)) 
attn/human_mpra/HepG2_clean.tsv_3    PearsonRResult(statistic=np.float64(0.716220502300067), pvalue=np.float64(0.0)) 
attn/human_mpra/HepG2_clean.tsv_5    PearsonRResult(statistic=np.float64(0.715010328202306), pvalue=np.float64(0.0)) 
attn/human_mpra/HepG2_clean.tsv_4    PearsonRResult(statistic=np.float64(0.7351517862095032), pvalue=np.float64(0.0)) 
attn/human_mpra/HepG2_clean.tsv_6    PearsonRResult(statistic=np.float64(0.7223249217016817), pvalue=np.float64(0.0)) 
attn/human_mpra/HepG2_clean.tsv_7    PearsonRResult(statistic=np.float64(0.7151994612873539), pvalue=np.float64(0.0)) 
attn/human_mpra/HepG2_clean.tsv_8    PearsonRResult(statistic=np.float64(0.7325767963697272), pvalue=np.float64(0.0)) 
attn/human_mpra/HepG2_clean.tsv_9    PearsonRResult(statistic=np.float64(0.7344217517364026), pvalue=np.float64(0.0)) 
attn/human_mpra/K562_clean.tsv_0    PearsonRResult(statistic=np.float64(0.737500755208472), pvalue=np.float64(0.0)) 
attn/human_mpra/K562_clean.tsv_1    PearsonRResult(statistic=np.float64(0.7403125802104309), pvalue=np.float64(0.0)) 
attn/human_mpra/K562_clean.tsv_2    PearsonRResult(statistic=np.float64(0.7329326848487183), pvalue=np.float64(0.0)) 
attn/human_mpra/K562_clean.tsv_5    PearsonRResult(statistic=np.float64(0.7401628922922705), pvalue=np.float64(0.0)) 
attn/human_mpra/K562_clean.tsv_7    PearsonRResult(statistic=np.float64(0.7451758792082204), pvalue=np.float64(0.0)) 
attn/human_mpra/K562_clean.tsv_6    PearsonRResult(statistic=np.float64(0.7382054632360378), pvalue=np.float64(0.0)) 
attn/human_mpra/K562_clean.tsv_9    PearsonRResult(statistic=np.float64(0.739137603433904), pvalue=np.float64(0.0)) 
attn/human_mpra/K562_clean.tsv_8    PearsonRResult(statistic=np.float64(0.749172676545433), pvalue=np.float64(0.0)) 
attn/human_mpra/K562_clean.tsv_3    PearsonRResult(statistic=np.float64(0.7406468180971992), pvalue=np.float64(0.0)) 
attn/human_mpra/K562_clean.tsv_4    PearsonRResult(statistic=np.float64(0.753183250838955), pvalue=np.float64(0.0)) 
attn/human_mpra/WTC11_clean.tsv_2    PearsonRResult(statistic=np.float64(0.5674471504895724), pvalue=np.float64(0.0)) 
attn/human_mpra/WTC11_clean.tsv_5    PearsonRResult(statistic=np.float64(0.6325581136757723), pvalue=np.float64(0.0)) 
attn/human_mpra/WTC11_clean.tsv_6    PearsonRResult(statistic=np.float64(0.5713388896329309), pvalue=np.float64(0.0)) 
attn/human_mpra/WTC11_clean.tsv_3    PearsonRResult(statistic=np.float64(0.5668269803934938), pvalue=np.float64(0.0)) 
attn/human_mpra/WTC11_clean.tsv_0    PearsonRResult(statistic=np.float64(0.5659581290148946), pvalue=np.float64(0.0)) 
attn/human_mpra/WTC11_clean.tsv_1    PearsonRResult(statistic=np.float64(0.5416634802339917), pvalue=np.float64(0.0)) 
attn/human_mpra/WTC11_clean.tsv_4    PearsonRResult(statistic=np.float64(0.558686961358863), pvalue=np.float64(0.0)) 
attn/human_mpra/WTC11_clean.tsv_9    PearsonRResult(statistic=np.float64(0.5872691390836917), pvalue=np.float64(0.0)) 
attn/human_mpra/WTC11_clean.tsv_7    PearsonRResult(statistic=np.float64(0.6271017061504349), pvalue=np.float64(0.0)) 
attn/human_mpra/WTC11_clean.tsv_8    PearsonRResult(statistic=np.float64(0.6455861921569664), pvalue=np.float64(0.0)) 
